,Low,Moderate,P value,High,P value
Crude model,--,"-0.78 (-1.62, 0.06)",0.068,"-0.28 (-0.96, 0.41)",0.426
Model 1,-- ,"-0.20 (-1.06, 0.66)",0.654,"-0,43 (-1.13, 0.26)",0.22
Crude model,-- ,"-0.65 (-1.49, 0.19)",0.127,"-0.21 (-0.89, 0.48)",0.557
Model 1,--,"-0.10 (-0.97, 0.77)",0.82,"-0.39 (-1.10, 0.31)",0.269
Crude model,--,"-0.30 (-1.18, 0.57)",0.496,"-0.76 (-1.44, -0.82)",0.028
Live with partner,--,"-0.93 (-2.33, 0.46)",0.188,"-1.76 (-2.78, -0.73)",0.001
Live alone,--,"1.17 (-0.35, 2.70)",0.132,"0.57 (-0.58, 1.719",0.332
Crude model,--,"-0.24 (-1.12, 0.65)",0.601,"-0.71 (-1.39, -0.03)",0.04
Live with partner,--,"-0.86 (-2.28, 0.55)",0.232,"-1.62 (-2.65, -0.58)",0.002
Live alone,--,"1.22 (-0.34, 2.78)",0.124,"0.43 (-0.71, 1.56)",0.462
