Slot,Sources,Gram,kJ,pct
6 am – 9 am,Carbohydrate,11.2,179.2,0.603570225665207
9 am – 12 am,Carbohydrate,33,528,0.545510899886352
12 noon – 2 pm,Carbohydrate,38.7,619.2,0.472347242352582
2 pm – 5 pm,Carbohydrate,33.6,537.6,0.486032004339572
5 pm – 8 pm,Carbohydrate,54.6,873.6,0.441836941128869
8 pm – 10 pm,Carbohydrate,29.7,475.2,0.437206734750207
10 pm – 6 am,Carbohydrate,17.6,281.6,0.469568117392029
6 am – 9 am,Alc,,0.899999999999992,0.003031323678006
9 am – 12 am,Alc,,0.800000000000011,0.000826531666494
12 noon – 2 pm,Alc,,7.90000000000003,0.006026394080403
2 pm – 5 pm,Alc,,26.7999999999999,0.024229274025857
5 pm – 8 pm,Alc,,72.6999999999999,0.036769168521141
8 pm – 10 pm,Alc,,117.8,0.108381635845064
10 pm – 6 am,Alc,,85.6,0.142738035684509
6 am – 9 am,Fat,2.1,77.7,0.261704277534523
9 am – 12 am,Fat,8.1,299.7,0.309639425560492
12 noon – 2 pm,Fat,12.6,466.2,0.355633534213136
2 pm – 5 pm,Fat,10,370,0.334508633939065
5 pm – 8 pm,Fat,17.8,658.6,0.33309730932632
8 pm – 10 pm,Fat,8.8,325.6,0.299567577514031
10 pm – 6 am,Fat,4.4,162.8,0.271469067867267
6 am – 9 am,Protein,2.3,39.1,0.131694173122263
9 am – 12 am,Protein,8.2,139.4,0.144023142886662
12 noon – 2 pm,Protein,12.8,217.6,0.165992829353879
2 pm – 5 pm,Protein,10.1,171.7,0.155230087695507
5 pm – 8 pm,Protein,21.9,372.3,0.18829658102367
8 pm – 10 pm,Protein,9.9,168.3,0.154844051890698
10 pm – 6 am,Protein,4.1,69.7,0.116224779056195
