,CB = 1,CB = 2,P value
Total (%),"66.4  (64.8 , 68.1)","33.6  (31.9 , 35.2)",
Countries (%),,,
England,"83.1  (80.9 , 85.1)","85.4  (83.0 , 87.5)",0.203
Northern Ireland,"3.0  (2.3 , 3.9)","2.3  (1.7 , 3.1)",
Scotland,"8.9  (7.2 , 11.0)","7.7  (5.9 , 9.9)",
Wales,"5.0  (4.1 , 6.0)","4.6  (3.6 , 6.0)",
Age (years),"47.3 (46.4, 48.2)","50.1 (49.1, 51.1)",< 0.001
Sex (%),,,
Men,"47.3  (45.2 , 49.5)","51.0  (48.1 , 53.9)",0.048
Women,"52.7  (50.5 , 54.8)","49.0  (46.1 , 51.9)",
Survey years (%),,,
1,"13.1 (10.8, 15.8)","15.0 (12.1, 18.5)",0.365
2,"12.3 (10.1, 14.9)","11.9 (9.4, 14.2)",
3,"12.0 (9.8, 14.8)","10.4 (8.2, 13.1)",
4,"13.2 (10.9, 16.0)","11.4 (9.0, 14.2)",
5,"13.0 (10.8, 15.7)","13.9 (11.1, 17.3)",
6,"12.0 (9.9, 14.4)","11.1 (8.8, 13.9)",
7,"12.3 (10.1,14.9)","13.5 (10.9, 16.7)",
8,"12.0 (9.9, 14.5)","12.8 (10.3, 15.8)",
BMI (kg/m^2),"27.2 (26.9, 27.5)","27.7 (27.5, 28.1)",0.007
WC (cm),"92.6 (91.9, 93.3)","94.2 (93.1, 95.2)",0.013
Smoking status (%),,,
Current,"19.8  (18.2 , 21.4)","23.8 (21.3 , 26.5)",< 0.001
Ex-smoker,"22.5  (20.8 , 24.2)","28.0 (25.4 , 30.7)",
Never,"57.8  (55.7 , 59.8)","48.2 (45.3 , 51.1)",
Current drinking status (%),,,
Yes,"23.1  (21.3 , 25.1)","11.1  (9.5 , 13.0)",< 0.001
Hypertension (%),,,
Yes,"27.4  (25.0 , 29.9) ","32.6  (29.3 , 36.1)",0.012
Total energy intake (KJ),"7425.7 (7323.7, 7527.8)","8149.9 (7997.3, 8302.7)",< 0.001
Carbohydrate intake (g),"226.0 (222.8, 229.3)","210 (206.1, 213.9)",< 0.001
Carbohydrate percent (%),"48.3 (48.0, 48.6)","40.9 (40.6, 41.3)",< 0.001
Glucose (mmol/l),"5.13 (5.09, 5.17)","5.17 (5.11, 5.22)",0.292
A1C (%),"5.49 (5.47, 5.52)","5.47 (5.44,5.51)",0.264
DM,"4.1  (3.1 , 5.3 )","5.9  (4.3 , 8.0 )",0.061
Physical Activity (hours/day),"1.51 (1.39, 1.63)","1.64 (1.45, 1.82)",0.244
