,C=1,C=2,C=2,P value
Total energy intake (kJ),"7985.8 (7823.3, 8146.295)","7341.8 (7825.3, 8146.3)","7677 (7555.8, 7799,8)",< 0.001
Carbohydrate intake (g),"203.8 (199.8, 207.8)","218.3 (212.9, 223.7)","233.4 (229.6, 237.2)",< 0.001
6 am – 9 am,"23.0 (21.8,  24.3)","11.2 (10.0, 12.3)","37.9 (36.8, 39.2)",
Fiber (g),"1.4 (1.3, 1.5)","0.6 (0.5, 0.7)","2.0 (1.9, 2.2)",
Sugar (g),"10.2 (9.6, 10.9)","5.3 (4.8, 5.8)","19.7 (19.0, 20.4)",
Non-milk extrinsic sugar (g),"4.7 (4.3, 5.1)","3.2 (2.9, 3.6)","11.1 (10.7, 11.6)",
Starch (g),"12.8 (12.0, 13.5)","5.9 (5.1, 6.6)","18.3 (17.6, 19.1)",
9 am – 12 noon,"25.1 (23.9, 26.3)","33.0 (31.4, 34.6)","26.2 (25.1, 27.2)",
Fiber (g),"1.5 (1.4, 1.6)","1.6 (1.5, 1.7)","1.3 (1.2, 1.3)",
Sugar (g),"11.6 (10.9, 12.3)","15.7 (14.8, 16.6)","14.2 (13.6, 14.8)",
Non-milk extrinsic sugar (g),"5.7 (5.2, 6.2)","9.6 (8.9, 10.2)","8.1 (7.7, 8.5)",
Starch (g),"13.5 (12.8, 14.3)","17.3 (16.4, 18.3)","11.9 (11.3, 12.6)",
12 noon – 2 pm,"42.6 (40.9, 44.3)","38.7 (37.0, 40.4)","51.6 (50.2, 52.9)",
Fiber (g),"3.1 (2.9, 3.2)","2.3 (2.2, 2.5)","3.6 (3.5, 3.7)",
Sugar (g),"14.7 (14.0, 15.4)","14.9 (14.0, 15.7)","19.4 (18.7, 20.0)",
Non-milk extrinsic sugar (g),"7.3 (6.7, 7.8)","9.1 (8.4, 9.8)","10.3 (9.8, 10.8)",
Starch (g),"27.9 (26.6, 29.1)","23,8 (22.6, 24.9)","32.2 (31.2, 33.1)",
2 pm – 5 pm,"25.0 (23.6, 26.4)","33.6 (31.6, 35.6)","24.7 (23.6, 25.7)",
Fiber (g),"1.6 (1.5, 1.7)","1.9 (1.7, 2.0)","1.3 (1.2, 1.4)",
Sugar (g),"11.9 (11.3, 12.7)","14.5 (13.5, 15.5)","13.4 (12.8, 13.9)",
Non-milk extrinsic sugar (g),"6.9 (6.4, 7.5)","9.9 (9.0, 8.6)","8.6 (8.2, 9.1)",
Starch (g),"13.1 (12.1, 13.9)","19.1 (17.7, 20.4)","11.3 (10.6, 11.9)",
5 pm – 8 pm,"55.9 (54.1, 57.9)","54.6 (52.1, 57.0)","62.9 (61.3, 64.4)",
Fiber (g),"4.4 (4.2, 4.5)","3.7 (3.5, 3.9)","4.9 (4.7, 5.0)",
Sugar (g),"18.7 (17.9, 19.5)","18.6 (17.6, 19.5)","21.8 (20.9, 22.5)",
Non-milk extrinsic sugar (g),"10.2 (9.6, 10.8)","11.8 (10.9, 12.6)","12.1 (11.4, 12.7)",
Starch (g),"37.3 (35.8, 38.8)","35.9 (34.1, 37.9)","41.1 (39.9, 42.2)",
8 pm – 10 pm,"23.3 (21.9, 24.6)","29.7 (27.6, 31.7)","23.7 (22.5, 24.9)",
Fiber (g),"1.4 (1.3, 1.6)","1.6 (1.5, 1.8)","1.3 (1.5, 1.8)",
Sugar (g),"10.9 (10.3, 11.5)","13.2 (12.2, 14.2)","12.4 (11.8, 13.0)",
Non-milk extrinsic sugar (g),"7.3 (6.8, 7.8)","9.4 (8.5, 10.4)","8.3 (7.8, 8.8)",
Starch (g),"12.3 (11.4, 13.3)","16.4 (15.0, 17.8)","11.3 (10.5, 12.1)",
10 pm – 6 am,"8.8 (7.7, 9.8)","17.6 (15.2, 19.9)","6.4 (5.8, 7.1)",
Fiber (g),"0.34 (0.29, 0.39)","0.74 (0.63, 0.85)","0.24 (0.21, 0.27)",
Sugar (g),"5.3 (4.6, 6.1)","10.0 (8.6, 11.5)","4.1 (3.7, 4.5)",
Non-milk extrinsic sugar (g),"3.9 (3.3, 4.6)","7.7 (6.4, 8.9)","2.9 (2.6, 3.3)",
Starch (g),"3.5 (2.9, 3.9)","7.5 (6.3, 8.8)","2.3 (1.9, 2.7)",
Carbohydrate percent (%),"40.6 (40.2, 41.0)","47.3 (46.8, 47.8)","48.3 (47.9, 48.6)",< 0.001
Protein intake (g),"79.9 (77.9, 81.8)","69.3 (67.6, 71.0)","73.7 (72.5, 74.8)",< 0.001
Protein percent (%),"17.2 (16.9, 17.5)","16.3 (16.0, 16.6)","16.5 (16.3, 16.6)",< 0.001
Fat intake (g),"74.7 (73.1, 76.4)","63.8 (62.1, 65.5)","65.7 (64.4, 67.0)",< 0.001
Fat percent (%),"35.4 (34.9, 35.8)","32.5 (32.1, 32.9)","32.0 (31.7, 32.3)",< 0.001
Alcohol intake (g),"20.8 (18.3, 23.2)","10.7 (9.4, 11.9)","8.9 (8.1, 9.8)",< 0.001
