,Non-diabetes,Diabetes,P,Non-diabetes,Diabetes,P
Weighted prevalence (%),"94.1 (92.4, 95.4)","5.9 (4.6, 7.6)",,"96.4 (95.1, 97.4)","3.6 (2.6, 4.9)",
Age (years),"46.6 (45.2, 48.0)","59.6 (55.6, 63.6)",< 0.001,"48.7 (47.4, 50.0)","60.2 (55.7, 64.7)",< 0.001
Country (%),,,0.627,,,0.138
England,"83.8 (80.4, 86.7)","79.0 (66.1, 87.9)",,"84.9 (81.9, 87.4)","81.2 (64.8, 91.0)",
Northern Ireland,"2.3 (1.3, 3.7)","1.8 (0.2, 11.4)",,"1.5 (0.9, 2.5)","2.3 (2.2, 12.3)",
Scotland,"9.4 (7.0, 12.5)","14.4 (7.0, 27.4)",,"8.6 (6.4, 11.4)","11.4 (3.6, 31.1)",
Wales,"4.6 (3.3, 6.3)","4.8 (1.8, 12.3)",,"5.1 (4.0, 6.4)","2.0 (0.8, 5.2)",
Ethnicity (%),,,0.267,,,
White,"89.9 (86.9, 92.3)","84.9 (71.9, 92.5)",,"88.8 (85.8, 91.3)","87.9 (73.1, 95.1)",
Non-white,"10.1 (7.7, 13.1)","15.1 (7.5, 28.1)",,"11.2 (8.7, 14.2)","12.1 (4.9, 26.9)",
Education (%),,,0.007,,,0.034
Degree or higher,"28.2 (24.9, 31.7)","12.4 (6.2, 23.2)",,"27.7 (24.8, 30.8)","11.8 (4.7, 26.7)",
Lower than Degree,"71.8 (68.3, 75.1)","87.6 (76.8, 93.8)",,"72.3 (69.2, 75.2)","88.2 (73.3, 95.3)",
Smoking status,,,0.275,,,0.958
Current,"23.0 (19.9, 26.5)","19.3 (10.6, 23.7)",,"16.4 (14.3, 18.8)","18.2 (8.3, 35.5)",
Ex-smoker,"24.5 (21.5, 27.8)","34.5 (23.1, 47.9)",,"23.8 (21.2, 26.7)","23.5 (12.9, 38.8)",
Never,"52.5 (48.6, 56.3)","46.2 (33.6, 59.3)",,"59.7 (56.6, 62.8)","58.3 (42.1, 72.9)",
Physical activity (hours/day),"1.53 (1.36, 1.71)","1.07 (0.66, 1.59)",0.094,"0.76 (0.69, 0.84)","0.38 (0.19, 0.60)",0.002
BMI (kg/m2),"27.3 (26.9, 27.6)","30.1 (28.8, 31.3)",< 0.001,"26.9 (26.5, 27.3)","33.5 (31.7, 35.4)",< 0.001
WC (cm),"96.9 (95.9, 97.9)","108.5 (104.8, 112.3)",< 0.001,87.2 (86.3 88.1),"107.1 (102.5, 111.8)",< 0.001
Carbohydrate eating patterns (%),,,0.057,,,0.037
Low ,"30.1 (26.8, 33.6)","41.1 (29.2, 54.1)",,"25.5 (22.8, 28.5)","42.1 (27.1, 58.6)",
Moderate,"28.9 (25.4, 32.8)","15.3 (8.3, 26.5)",,"26.1 (23.0, 29.3)","27.7 (15.9, 43.8)",
High,"41.0 (37.3, 44.7)","43.6 (31.1, 57.0)",,"48.4 (45.1, 51.7)","30.2 (18.4, 45.3)",
Total energy intake (kJ),"9016.8 (8806.8, 9226.8)","8237.1 (7561.3, 8913.0)",0.033,"6844.2 (6715.9, 6972.5)","5659.9 (5090.0, 6229.7)",< 0.001
Carbohydrate intake (g),"257.7 (252.1, 263.3)","236.8 (215.8, 257.8)",0.062,"199.8 (195.4, 204.3)","163.9 (144.8, 183.0)",< 0.001
Glucose (mmol/l),"5.23 (5.17, 5.28)","9.35 (8.73, 10.03)",< 0.001,"4.99 (4.96, 5.03)","8.46 (7.69, 9.31)",< 0.001
A1C (%),"5.48 (5.45, 5.51)","8.01 (7.68, 8.35)",< 0.001,"5.47 (5.44, 5.49)","7.68 (7.27, 8.11)",< 0.001
TC (mmol/l),"4.79 (4.70, 4.88)","4.14 (3.86, 4.44)",< 0.001,"5.02 (4.95, 5.09)","4.53 (4.12, 4.98)",< 0.001
HDL (mmol/l),"1.24 (1.21, 1.27)","1.05 (0.98, 1.13)",< 0.001,"1.53 (1.50, 1.56)","1.18 (1.06, 1.31)",< 0.001
LDL (mmol/l),"2.86 (2.78, 2.94)",,,,,
TG (mmol/l),,,,,,
