,C = 1,C = 2,C = 3,P value
Total energy intake (kJ),"7985.8 (7823.3, 8146.295)","7341.8 (7825.3, 8146.3)","7677 (7555.8, 7799,8)",< 0.001
6 am – 9 am,"753.1 (712.9, 793.2)","296.9 (265.3, 328.4)","929.0 (898.5, 959.5)",< 0.001
9 am – 12 am,"854.6 (812.5, 896.7)","967.9 (918.8, 1016.9)","746.4 (713.7, 779.1)",< 0.001
12 noon – 2 pm,"1622.1 (1562.8, 1681.3)","1310.9 (1252.0, 1369.7)","1788.8 (1740.3, 1837.2)",< 0.001
2 pm – 5 pm,"950.8 (895.9, 1005.6)","1106.1 (1041.7, 1170.5)","785.0 (750.3, 819.8)",< 0.001
5 pm – 8 pm,"2328.6 (2256.7, 2400.6)","1977.2 (1896.8, 2057.6)","2368.9 (2314.8, 2423.2)",< 0.001
8 pm – 10 pm,"1063.5 (1002.8, 1124.2)","1086.9 (1015.7, 1158.2)","860.2 (813.2, 907.1)",< 0.001
10 pm – 6 am,"422.4 (354.7, 490.0)","599.7 (524.0, 675.3)","205.5 (185.5, 225.6)",< 0.001
Carbohydrate intake (g),"203.8 (199.8, 207.8)","218.3 (212.9, 223.7)","233.4 (229.6, 237.2)",< 0.001
6 am – 9 am,"23.0 (21.8,  24.3)","11.2 (10.0, 12.3)","37.9 (36.8, 39.2)",< 0.001
9 am – 12 am,"25.1 (23.9, 26.3)","33.0 (31.4, 34.6)","26.2 (25.1, 27.2)",< 0.001
12 noon – 2 pm,"42.6 (40.9, 44.3)","38.7 (37.0, 40.4)","51.6 (50.2, 52.9)",< 0.001
2 pm – 5 pm,"25.0 (23.6, 26.4)","33.6 (31.6, 35.6)","24.7 (23.6, 25.7)",< 0.001
5 pm – 8 pm,"55.9 (54.1, 57.9)","54.6 (52.1, 57.0)","62.9 (61.3, 64.4)",< 0.001
8 pm – 10 pm,"23.3 (21.9, 24.6)","29.7 (27.6, 31.7)","23.7 (22.5, 24.9)",< 0.001
10 pm – 6 am,"8.8 (7.7, 9.8)","17.6 (15.2, 19.9)","6.4 (5.8, 7.1)",< 0.001
Carbohydrate percent (%),"40.6 (40.2, 41.0)","47.3 (46.8, 47.8)","48.3 (47.9, 48.6)",< 0.001
Protein intake (g),"79.9 (77.9, 81.8)","69.3 (67.6, 71.0)","73.7 (72.5, 74.8)",< 0.001
6 am – 9 am,"7.2 (6.7, 7.7)","2.3 (2.0, 2.5)","7.3 (7.0, 7.6)",< 0.001
9 am – 12 am,"7.9 (7.5, 8.4)","8.2 (7.7, 8.6)","5.9 (5.6, 6.2)",< 0.001
12 noon – 2 pm,"16.8 (16.1, 17.6)","12.8 (12.1, 13.5)","17.9 (17.4, 18.5)",< 0.001
2 pm – 5 pm,"8.9 (8.3, 9.6)","10.1 (9.4, 10.9)","6.6 (6.2, 6.9)",< 0.001
5 pm – 8 pm,"26.8 (25.8, 27.7)","21.9 (20.9, 22.9)","27.6 (26.9, 28.3)",< 0.001
8 pm – 10 pm,"9.3 (8.6, 10.0)","9.9 (9.0, 10.8)","7.0 (6.5, 7.5)",< 0.001
10 pm – 6 am,"2.9 (2.1, 3.6)","4.1 (3.5, 4.7)","1.3 (1.1 , 1.4)",< 0.001
Protein percent (%),"17.2 (16.9, 17.5)","16.3 (16.0, 16.6)","16.5 (16.3, 16.6)",< 0.001
Fat intake (g),"74.7 (73.1, 76.4)","63.8 (62.1, 65.5)","65.7 (64.4, 67.0)",< 0.001
6 am – 9 am,"7.0 (6.6, 7.4)","2.1 (1.9, 2.4)","5.3 (5.1, 5.6)",< 0.001
9 am – 12 am,"8.4 (7.9, 8.9)","8.1 (7.6, 8.6)","6.1 (5.8, 6.5)",< 0.001
12 noon – 2 pm,"16.8 (16.1, 17.4)","12.6 (11.9, 13.3)","17.3 (16.7, 17.8)",< 0.001
2 pm – 5 pm,"9.2 (8.6, 9.8)","10.0 (9.4, 10.7)","6.9 (6.6, 7.4)",< 0.001
5 pm – 8 pm,"21.9 (21.1, 22.7)","17.8 (16.9, 18.6)","21.6 (20.9, 22.2)",< 0.001
8 pm – 10 pm,"8.9 (8.2, 9.5)","8.8 (8.2, 9.6)","7.2 (6.7, 7.7)",< 0.001
10 pm – 6 am,"2.8 (2.5, 3.2)","4.4 (3.7, 5.1)","1.4 (1.3, 1.6)",< 0.001
Fat percent (%),"35.4 (34.9, 35.8)","32.5 (32.1, 32.9)","32.0 (31.7, 32.3)",< 0.001
Alcohol intake (g),"20.8 (18.3, 23.2)","10.7 (9.4, 11.9)","8.9 (8.1, 9.8)",< 0.001
