N of classes,LOG_LIKELIHOOD,G_SQUARED,AIC,BIC,CAIC,ABIC,ENTROPY
1,-402141.9235,319395.6155,319539.6155,320123.2284,320195.2284,319894.4144,1
2,-382002.6745,279117.1175,279407.1175,280582.449,280727.449,280121.643,0.918601999
3,-380275.3826,275662.5336,276098.5336,277865.5837,278083.5837,277172.7858,0.847683204
4,-378255.5686,271622.9058,272204.9058,274563.6745,274854.6745,273638.8846,0.817010712
5,-377170.4833,269452.7352,270180.7352,273131.2224,273495.2224,271974.4406,0.824733724
6,-376353.863,267819.4945,268693.4945,272235.7004,272672.7004,270846.9266,0.852703371
7,-375440.0896,265991.9478,267011.9478,271145.8723,271655.8723,269525.1065,0.78651275
8,-374751.5572,264614.883,265780.883,270506.526,271089.526,268653.7683,0.80932745
9,-374596.3001,264304.3687,265616.3687,270933.7304,271589.7304,268848.9807,0.811534882
10,-373729.9711,262571.7107,264029.7107,269938.791,270667.791,267622.0493,0.76856798
