N OF CLASSES,LOG_LIKELIHOOD,G_SQUARED,AIC,BIC,CAIC,ABIC,ENTROPY
1,-372017.293,292278.8142,292374.8142,292763.8894,292811.8894,292611.3468,1
2,-369608.7111,287461.6504,287657.6504,288452.0124,288550.0124,288140.5711,0.45591373
3,-368668.5927,285581.4137,285877.4137,287077.0623,287225.0623,286606.7225,0.583896961
4,-365939.0989,280122.4259,280518.4259,282123.3613,282321.3613,281494.1228,0.675128366
5,-364934.0502,278112.3287,278608.3287,280618.5508,280866.5508,279830.4137,0.720521743
6,-363571.2351,275386.6984,275982.6984,278398.2072,278696.2072,277451.1715,0.70076289
7,-362706.8353,273657.8987,274353.8987,277174.6942,277522.6942,276068.7599,0.732895352
8,-362387.4491,273019.1264,273815.1264,277041.2086,277439.2086,275776.3757,0.72418727
9,-362085.1243,272414.4767,273310.4767,276941.8456,277389.8456,275518.1141,0.738164576
10,-361488.817,271221.8621,272217.8621,276254.5177,276752.5177,274671.8876,0.692265453
