N OF CLASSES,LOG_LIKELIHOOD,G_SQUARED,AIC,BIC,CAIC,ABIC,ENTROPY
1,-353347.5573,244621.0012,244717.0012,245106.0764,245154.0764,244953.5338,1
2,-334011.3082,205948.5031,206142.5031,206928.7593,207025.7593,206620.496,0.907998248
3,-333020.8888,203967.6642,204259.6642,205443.1014,205589.1014,204979.1175,0.879225821
4,-330768.5019,199462.8904,199852.8904,201433.5086,201628.5086,200813.804,0.87025904
5,-329939.7309,197805.3485,198293.3485,200271.1477,200515.1477,199495.7225,0.857307256
6,-329189.0775,196304.0416,196890.0416,199265.0218,199558.0218,198333.8759,0.824370514
7,-328687.1964,195300.2794,195984.2794,198756.4405,199098.4405,197669.574,0.810165805
8,-328029.4616,193984.8099,194766.8099,197936.152,198327.152,196693.5649,0.776409294
9,-327704.7947,193335.476,194215.476,197781.9991,198221.9991,196383.6914,0.783451995
10,-327665.3304,193256.5474,194234.5474,198198.2515,198687.2515,196644.2231,0.807738459
