Models,Low,Moderate,P value,High,P value
Crude model,1,"0.48 (0.33, 0.70)",< 0.001,"0.82 (0.59, 1.13)",0.217
Model 1,1,"0.68 (0.43, 1.07)",0.093,"0.80 (0.56, 1.15)",0.227
Model 2,1,"0.64 (0.41, 1.01)",0.054,"0.75 (0.53, 1.08)",0.124
Crude model,1,"0.49 (0.33, 0.73)",< 0.001,"0.82 (0.59, 1.14)",0.241
Model 1,1,"0.69 (0.43, 1.09)",0.11,"0.78 (0.54, 1.14)",0.197
Model 2,1,"0.65 (0.41, 1.03)",0.066,"0.73 (0.51, 1.06)",0.096
Crude model,1,"0.52 (0.36, 0.75)",< 0.001,"0.96 (0.72, 1.28)",0.773
Model 1,1,"0.79 (0.45, 1.39)",0.415,"0.89 (0.61, 1.30)",0.552
Model 2,1,"0.78 (0.45, 1.36)",0.384,"0.88 (0.62, 1.26)",0.483
Crude model,1,"0.51 (0.35, 0.74)",< 0.001,"0.98 (0.73, 1.31)",0.875
Model 1,1,"0.79 (0.44, 1.42)",0.435,"0.89 (0.61, 1.29)",0.534
Model 2,1,"0.79 (0.45, 1.39)",0.415,"0.87 (0.61, 1.25)",0.452
