Level 1 (CW),Level 2 (CB),Done,N of free parameters,log-likelihood,AIC,BIC,aBIC,Entropy
2,2,1,195,-363460.153,727310.307,728890.925,728271.22,0.834
2,3,1,293,-360910.13,722406.261,724781.241,723850.095,0.824
2,4,1,391,-358684.859,718151.71,721321.06,720078.473,0.816
3,2,1,293,-361571.164,723728.328,726103.308,725172.162,0.798
3,3,1,440,-358902.821,718685.643,722252.166,720853.858,0.793
3,4,1,587,-356668.354,714510.708,719268.774,717403.305,0.817
3,5,1,734,-354868.057,711204.113,717153.722,714821.091,0.809
4,2,1,391,-360297.394,721376.788,724546.13,723303.543,0.784
4,3,1,587,-357404.521,715983.043,720741.109,718875.639,0.824
4,4,1,783,-355235.955,712037.909,718384.699,715896.347,0.806
