"PARAM","GROUP","VARIABLE","RESPCAT","ESTLC1","ESTLC2","ESTLC3"
"GAMMA",1,,,0.225723964770781,0.278473753737997,0.495802281491222
"RHO",1,"H0",1,0.940036174270825,0.989073305864955,0.980301138112064
"RHO",1,"H1",1,0.970188407853501,0.997051527845361,0.991090753461096
"RHO",1,"H2",1,0.983243097297613,0.996457534908938,0.994130967978656
"RHO",1,"H3",1,0.987931374600302,0.996810512375296,0.993445900243277
"RHO",1,"H4",1,0.987910322124196,0.994382825530695,0.992265216723759
"RHO",1,"H5",1,0.979269025924368,0.985507319808287,0.989568667785159
"RHO",1,"H6",1,0.843258211297761,0.846720898039171,0.892349112016103
"RHO",1,"H7",1,0.69608982979648,0.627555490154129,0.69805800277108
"RHO",1,"H8",1,0.624931594041107,0.590714234411857,0.639849911967613
"RHO",1,"H9",1,0.591655270409731,0.684886229195871,0.676331955550915
"RHO",1,"H10",1,0.637211094533061,0.6317197904373,0.626056694971422
"RHO",1,"H11",1,0.659101503309683,0.837332087961636,0.688269669924325
"RHO",1,"H12",1,0.667258252958872,7.13239917612002e-012,0.90581688434912
"RHO",1,"H13",1,0.514944160095451,0.887266805489711,0.27737177798106
"RHO",1,"H14",1,0.625761812379369,0.755933822548027,0.778411862589824
"RHO",1,"H15",1,0.675179127925687,0.653889862799003,0.688585551151106
"RHO",1,"H16",1,0.657213013263439,0.707618150090441,0.707531136923734
"RHO",1,"H17",1,0.682515856848637,0.6268855142246,0.719442700442806
"RHO",1,"H18",1,0.612202702795775,0.571653954719506,0.56457805903223
"RHO",1,"H19",1,0.559493125174028,0.663337964151405,0.625474416668847
"RHO",1,"H20",1,0.519725193932483,0.62202729093308,0.661592240149533
"RHO",1,"H21",1,0.576141838342669,0.67028314959445,0.65378390541348
"RHO",1,"H22",1,0.650297436601442,0.794969204805698,0.773491087653301
"RHO",1,"H23",1,0.845079818250635,0.956948282679178,0.935303926025215
"RHO",1,"H0",2,0.0201384915837002,0.00012908677085901,0.000644758398567925
"RHO",1,"H1",2,0.00731347501940341,8.5483098218192e-005,6.75820691918782e-118
"RHO",1,"H2",2,0.00577432414403585,2.96623028935031e-288,8.9694414571016e-005
"RHO",1,"H3",2,0.00264314518567458,9.05571852076284e-014,3.23693652249332e-005
"RHO",1,"H4",2,0.00322502233730863,0.000130345085027666,2.37719222426898e-005
"RHO",1,"H5",2,0.00256903790182154,0.00099702552681353,4.01693252944386e-007
"RHO",1,"H6",2,0.0250768257725492,0.0127504541446967,0.0110789587353275
"RHO",1,"H7",2,0.0235856106903854,0.0112775320037654,0.0120084834295954
"RHO",1,"H8",2,0.0371766684266206,0.0214852594073953,0.0165637709406935
"RHO",1,"H9",2,0.0342945491975943,0.00747840109637736,0.00852542599392788
"RHO",1,"H10",2,0.0409165981005557,0.0104706701363441,0.01272710208019
"RHO",1,"H11",2,0.0362049899008216,0.00517495204664668,0.0113384691557426
"RHO",1,"H12",2,0.0421809496425997,0.065235923312467,0.00602377589047291
"RHO",1,"H13",2,0.0688686189055195,0.00421986512663006,0.0438788977436977
"RHO",1,"H14",2,0.0508966232272379,0.0084837179795535,0.0111942542391855
"RHO",1,"H15",2,0.0485344379407898,0.014339645082705,0.00972205818172194
"RHO",1,"H16",2,0.0503927188669402,0.0200286089157247,0.0162255212311396
"RHO",1,"H17",2,0.0606665652616405,0.0380042184192296,0.0249304862301927
"RHO",1,"H18",2,0.092933229183317,0.0436000029146121,0.043921782564109
"RHO",1,"H19",2,0.124890945758349,0.039536679134803,0.0424465130472554
"RHO",1,"H20",2,0.1616206951745,0.0447731898581627,0.0310214976742442
"RHO",1,"H21",2,0.154844509357418,0.0374667762963663,0.033596900399152
"RHO",1,"H22",2,0.123275594588064,0.0176878333069132,0.016322664748388
