"PARAM","GROUP","VARIABLE","RESPCAT","ESTLC1","ESTLC2","ESTLC3"
"GAMMA",1,,,0.708549440676334,0.247189717917095,0.0442608414065713
"RHO",1,"H0",1,0.982641558701747,0.984698550368788,0.794883238967645
"RHO",1,"H1",1,0.994103501620632,0.993666582600229,0.871376356753589
"RHO",1,"H2",1,0.995834564151796,0.995488775445892,0.925769720562595
"RHO",1,"H3",1,0.995358124539398,0.995044498732041,0.950643091811915
"RHO",1,"H4",1,0.992357213341034,0.995137152799501,0.969558369789637
"RHO",1,"H5",1,0.985103222850749,0.991768009305699,0.972537098730037
"RHO",1,"H6",1,0.866637170911024,0.886787081685966,0.872336467529442
"RHO",1,"H7",1,0.67040883210099,0.697060268195406,0.766462586151415
"RHO",1,"H8",1,0.615240039199149,0.655582622916561,0.68530677274121
"RHO",1,"H9",1,0.66243593972614,0.676076466990139,0.612630713352318
"RHO",1,"H10",1,0.627941771654607,0.659225740740093,0.612044138067808
"RHO",1,"H11",1,0.7213429283457,0.754105603258682,0.666050626255918
"RHO",1,"H12",1,0.592900561155591,0.644154654410187,0.645342939612815
"RHO",1,"H13",1,0.496774995689516,0.550630734029361,0.524944700492089
"RHO",1,"H14",1,0.742744068673786,0.766059297818119,0.608284485584942
"RHO",1,"H15",1,0.672605071337466,0.702463082840631,0.677136998430753
"RHO",1,"H16",1,0.696578637685119,0.733919048092662,0.619692339022312
"RHO",1,"H17",1,0.683604124092668,0.736552729078302,0.628122633871467
"RHO",1,"H18",1,0.571766597426275,0.642844417757469,0.599708834058552
"RHO",1,"H19",1,0.625969597102917,0.686076497707977,0.533339643480712
"RHO",1,"H20",1,0.631797336350807,0.689650129547505,0.384098276566932
"RHO",1,"H21",1,0.650403157738894,0.715915222681621,0.430499516706598
"RHO",1,"H22",1,0.771279214973459,0.809336891129599,0.333354430961093
"RHO",1,"H23",1,0.936392117735743,0.942907837462115,0.635442033525532
"RHO",1,"H0",2,0.000817209361108152,0.0122117260576198,0.0903611796620418
"RHO",1,"H1",2,8.22081331015271e-005,0.00514072777883768,0.0373394882564727
"RHO",1,"H2",2,4.0448694417764e-035,0.00303711779430116,0.0291790452809913
"RHO",1,"H3",2,8.73699688471125e-005,0.00386641196138457,0.0120751014228134
"RHO",1,"H4",2,0.000281698272423626,0.00401677121297331,0.00812446546027146
"RHO",1,"H5",2,0.000591640964459487,0.0060214943210529,0.00396331591257471
"RHO",1,"H6",2,0.0139050652934432,0.0901873791764122,0.0258148084849982
"RHO",1,"H7",2,0.0142445312474117,0.235975619685365,0.0201012812640012
"RHO",1,"H8",2,0.0210682406477058,0.270401438878748,0.0535839337397126
"RHO",1,"H9",2,0.0121379616329128,0.252850133796246,0.0564786387515939
"RHO",1,"H10",2,0.0169262097636062,0.262916455466673,0.0592613334134244
"RHO",1,"H11",2,0.014692824105639,0.19039454032951,0.0367835118487026
"RHO",1,"H12",2,0.0344753758529829,0.309320562515819,0.0359437464040677
"RHO",1,"H13",2,0.0412367391972348,0.395013210297918,0.0794089483503124
"RHO",1,"H14",2,0.017039822531482,0.187436045971122,0.0618751801303773
"RHO",1,"H15",2,0.0171192141383133,0.228523801613987,0.0553802889663416
"RHO",1,"H16",2,0.0221093089689767,0.210113334309802,0.0847756179119386
"RHO",1,"H17",2,0.0380893834239905,0.232043814608556,0.0922180669074149
"RHO",1,"H18",2,0.0557845324583091,0.321819283649359,0.136253623831936
"RHO",1,"H19",2,0.0561936743865572,0.269402324104945,0.203736523226372
"RHO",1,"H20",2,0.0510049731134193,0.259095696593318,0.334209695530821
"RHO",1,"H21",2,0.0457089532698437,0.230251891805623,0.380750510667983
"RHO",1,"H22",2,0.0238115733038362,0.150078337739324,0.392810779282326
"RHO",1,"H23",2,0.0040714057418253,0.0465644807910253,0.202619211993055
"RHO",1,"H0",3,0.0165412319371453,0.00308972357359198,0.114755581370313
"RHO",1,"H1",3,0.00581429024626691,0.00119268962093354,0.0912841549899386
"RHO",1,"H2",3,0.00416543584820391,0.00147410675980662,0.0450512341564141
"RHO",1,"H3",3,0.00455450549175526,0.001089089306574,0.0372818067652715
"RHO",1,"H4",3,0.00736108838654243,0.000846075987525385,0.0223171647500912
"RHO",1,"H5",3,0.0143051361847914,0.00221049637324853,0.023499585357388
"RHO",1,"H6",3,0.119457763795533,0.0230255391376218,0.101848723985559
"RHO",1,"H7",3,0.315346636651598,0.0669641121192291,0.213436132584584
"RHO",1,"H8",3,0.363691720153146,0.0740159382046913,0.261109293519077
"RHO",1,"H9",3,0.325426098640948,0.0710733992136155,0.330890647896088
"RHO",1,"H10",3,0.355132018581787,0.0778578037932341,0.328694528518768
"RHO",1,"H11",3,0.263964247548661,0.0554998564118078,0.297165861895379
"RHO",1,"H12",3,0.372624062991426,0.0465247830739939,0.318713313983118
"RHO",1,"H13",3,0.461988265113249,0.0543560556727213,0.395646351157599
"RHO",1,"H14",3,0.240216108794732,0.0465046562107592,0.329840334284681
"RHO",1,"H15",3,0.310275714524221,0.069013115545382,0.267482712602906
"RHO",1,"H16",3,0.281312053345904,0.0559676175975354,0.295532043065749
"RHO",1,"H17",3,0.278306492483342,0.0314034563131421,0.279659299221119
"RHO",1,"H18",3,0.372448870115416,0.0353362985931719,0.264037542109511
"RHO",1,"H19",3,0.317836728510525,0.0445211781870777,0.262923833292917
"RHO",1,"H20",3,0.317197690535773,0.0512541738591771,0.281692027902247
"RHO",1,"H21",3,0.303887888991262,0.0538328855127559,0.188749972625418
"RHO",1,"H22",3,0.204909211722705,0.0405847711310774,0.273834789756581
"RHO",1,"H23",3,0.0595364765224314,0.0105276817468595,0.161938754481414
