"PARAM","GROUP","VARIABLE","RESPCAT","ESTLC1","ESTLC2","ESTLC3","ESTLC4","ESTLC5"
"GAMMA",1,,,0.291284739454884,0.246695037277564,0.0409527437089942,0.225281921322732,0.195785558235825
"RHO",1,"H0",1,0.981852712924572,0.98397268825184,0.759558149830775,0.989492217752792,0.981068764943165
"RHO",1,"H1",1,0.993944216320141,0.993192660003082,0.854321369715697,0.996208141453425,0.994008568250716
"RHO",1,"H2",1,0.995491813898455,0.995162769966969,0.917225636908736,0.996331248681983,0.996786212852617
"RHO",1,"H3",1,0.995427581702165,0.994746308323732,0.942995078445507,0.997484430031227,0.99402729290563
"RHO",1,"H4",1,0.993334033229913,0.994782526298555,0.963484239611874,0.992010604926519,0.992641928709773
"RHO",1,"H5",1,0.988607587871981,0.99153631971009,0.9709026069435,0.982575630793923,0.9832362481394
"RHO",1,"H6",1,0.88648069309624,0.886940644196771,0.873915866215743,0.838315162201578,0.869326741759707
"RHO",1,"H7",1,0.709873003120887,0.698016345499734,0.782120615911672,0.629705220756026,0.655741342401735
"RHO",1,"H8",1,0.630487172489808,0.656176820363141,0.691443870873208,0.582681974550118,0.629272299097713
"RHO",1,"H9",1,0.67650897368609,0.675491303339586,0.625932710569192,0.669449153395408,0.630576493601384
"RHO",1,"H10",1,0.637431480064596,0.658768649984994,0.60647304553173,0.630286682099266,0.612676728591721
"RHO",1,"H11",1,0.675043062286099,0.753727970132853,0.665335196059813,0.833880934781938,0.66050810362276
"RHO",1,"H12",1,0.902188995341966,0.649548582209085,0.612998681337328,6.06929182327007e-017,0.81595861924137
"RHO",1,"H13",1,0.313777120821136,0.554123355268198,0.570572208476957,0.894471386686661,0.298089895745219
"RHO",1,"H14",1,0.760760124176554,0.764187522836542,0.559102418423818,0.737457108716067,0.732456695036877
"RHO",1,"H15",1,0.68532094576442,0.701811290069736,0.670661437982993,0.651660942879994,0.680114009127837
"RHO",1,"H16",1,0.735566144041027,0.732292575474845,0.613796153576611,0.705385208548487,0.630518632714579
"RHO",1,"H17",1,0.675556144733437,0.736071497677066,0.595323427647771,0.618332502206371,0.777346274775736
"RHO",1,"H18",1,0.450461923940583,0.643973393336942,0.584467339475261,0.568036743218699,0.758949626053798
"RHO",1,"H19",1,0.999876440321706,0.688511403328287,0.546866108832065,0.680173366808464,1.08550638154663e-032
"RHO",1,"H20",1,0.598543164059879,0.688025034388085,0.369356422818685,0.603642064761435,0.71476124325787
"RHO",1,"H21",1,0.640710178284199,0.714760086314972,0.434250456200198,0.661267668419714,0.649443634062995
"RHO",1,"H22",1,0.768319497112834,0.806998735570102,0.309704233068476,0.792529316526331,0.75182087084012
"RHO",1,"H23",1,0.931167632532407,0.941631624187232,0.597807308887552,0.953562964149364,0.928818848087564
"RHO",1,"H0",2,0.00112450014739057,0.0128137128745232,0.0944462739349236,1.93202218379593e-063,0.00122912558654832
"RHO",1,"H1",2,2.53068732500407e-294,0.00554968901699471,0.0376404203271895,0.0002572871494975,6.71110538141098e-005
"RHO",1,"H2",2,0.000193035824129111,0.00328089714322608,0.0287312606452804,0,0
"RHO",1,"H3",2,7.42735048841811e-005,0.00400657691728005,0.0121040403356641,5.56901475350927e-068,0.000236822020548699
"RHO",1,"H4",2,0,0.00420353297569674,0.00716868603260224,0.000291825099087655,0.0007956989786099
"RHO",1,"H5",2,0.000226507974794963,0.00610901746290721,0.00402380045603984,0.000909597763687807,0.00071677322686088
"RHO",1,"H6",2,0.0104536887121909,0.0899449944363464,0.0229826796853695,0.0159051020494265,0.0180303631326687
"RHO",1,"H7",2,0.0156076570471298,0.235751675501736,0.0168118279043776,0.0148523496680218,0.0131465472593315
"RHO",1,"H8",2,0.0207584321341735,0.270496689276741,0.0475795173199179,0.0269260805898128,0.017104117705648
"RHO",1,"H9",2,0.00960823755970961,0.253524188211913,0.051998956238205,0.0113027073012901,0.018307804203955
"RHO",1,"H10",2,0.019732616794262,0.263060615917238,0.0505953275427971,0.0136808524127669,0.0194530824804401
"RHO",1,"H11",2,0.0162064126921904,0.190699235694284,0.033114386524651,0.00854556526110082,0.0207150728464758
"RHO",1,"H12",2,0.0110047166948407,0.306241557582088,0.0327918503904347,0.0848961454989435,0.0166355978751044
"RHO",1,"H13",2,0.0589463685858686,0.392998076610099,0.0604777816693661,0.00580146916145735,0.0637004563334084
"RHO",1,"H14",2,0.0180922946622628,0.188709997480994,0.0669411474761857,0.0141925560136712,0.0172734315888776
"RHO",1,"H15",2,0.0158427368044328,0.229174686832032,0.0492175279103714,0.0200350626999136,0.0173127491095858
"RHO",1,"H16",2,0.0192751716693481,0.211300722085753,0.0740717496630897,0.0244911523447889,0.0258618483533292
"RHO",1,"H17",2,0.0359719863062401,0.232373054181774,0.0887072672227098,0.0487254070028823,0.0307253327445809
"RHO",1,"H18",2,0.0706270018636337,0.321125938910386,0.124110568592028,0.0541057430815058,0.0410794338229925
"RHO",1,"H19",2,1.11726533355009e-017,0.268657458088274,0.183838443576502,0.05060133220457,0.154364375142181
"RHO",1,"H20",2,0.0551182367885064,0.261060870358857,0.302089393714792,0.0599683268669604,0.0441250515808323
"RHO",1,"H21",2,0.0469075405386006,0.232275704801121,0.343871906750324,0.0501040860656353,0.0501596455606789
"RHO",1,"H22",2,0.027863070381677,0.152473300466783,0.376618779279972,0.0207379333063333,0.0282435897180225
"RHO",1,"H23",2,0.00491803810920009,0.0477376282256043,0.207757788987683,0.00205840209941247,0.00603717792941501
"RHO",1,"H0",3,0.017022786928037,0.00321359887363665,0.145995576234302,0.010507782247208,0.0177021094702863
"RHO",1,"H1",3,0.00605578367985919,0.00125765097992321,0.108038209957113,0.00353457139707713,0.00592432069547025
"RHO",1,"H2",3,0.00431515027741639,0.00155633288980524,0.0540431024459833,0.00366875131801729,0.00321378714738258
"RHO",1,"H3",3,0.00449814479295053,0.00124711475898799,0.0449008812188289,0.00251556996877275,0.00573588507382142
