"PARAM","GROUP","VARIABLE","RESPCAT","ESTLC1","ESTLC2","ESTLC3","ESTLC4","ESTLC5"
"GAMMA",1,,,0.323298838595331,0.207007135187927,0.0272761632351501,0.253750508599661,0.188667354381931
"RHO",1,"H0",1,0.98095912399091,0.988436835651375,0.574763189305112,0.989034712952813,0.981904743172005
"RHO",1,"H1",1,0.993529227186523,0.996502923723992,0.741587555527193,0.997159895108026,0.992672836835361
"RHO",1,"H2",1,0.99447131157434,0.998481172937061,0.850179917066337,0.996534955666354,0.9967604509594
"RHO",1,"H3",1,0.995671203777621,0.997170978560974,0.902152458385242,0.996778547534752,0.992630251006874
"RHO",1,"H4",1,0.992970647118642,0.992740533416414,0.939416268926879,0.994120852834463,0.993594983311538
"RHO",1,"H5",1,0.991797494511696,0.981481367102032,0.96164793574646,0.985431441255634,0.985906618350765
"RHO",1,"H6",1,0.897674391906689,0.830410778574634,0.885095419104267,0.847954205553059,0.885860710223042
"RHO",1,"H7",1,0.720433490149731,0.66669673025469,0.830154095374255,0.633622412504108,0.655274576589645
"RHO",1,"H8",1,0.635795366764718,0.603663776469728,0.717470249556891,0.591360375365239,0.650123332820341
"RHO",1,"H9",1,0.688926303465993,0.583015712499062,0.683475630302109,0.692160616851687,0.646133783603007
"RHO",1,"H10",1,0.630216901293192,0.640053889002813,0.619328316276287,0.633703756478393,0.615961723529586
"RHO",1,"H11",1,0.696105451929799,0.656292982456495,0.693009012777265,0.844912153952145,0.683683497822268
"RHO",1,"H12",1,0.90822901388213,0.644213407793175,0.617340582398586,1.03009721462093e-010,0.826308382195981
"RHO",1,"H13",1,0.285239659513601,0.537273974995523,0.531681970451973,0.918398892841196,0.264241200942127
"RHO",1,"H14",1,0.785361690371541,0.628465458856718,0.624383372235193,0.752301330208156,0.772600855110678
"RHO",1,"H15",1,0.683864042843335,0.662622496502774,0.675874022907087,0.658068373875526,0.700794749290515
"RHO",1,"H16",1,0.74508604328471,0.673810019476285,0.59203462704609,0.717139468456529,0.623878410729378
"RHO",1,"H17",1,0.687459218226813,0.665082540667225,0.60688429937277,0.6175055389344,0.806473712918911
"RHO",1,"H18",1,0.432699249286745,0.609002016862916,0.570354838168247,0.563261146218102,0.810181033131739
"RHO",1,"H19",1,0.957203439228133,0.585112211778293,0.559325085867794,0.690770859326774,2.76902197231083e-022
"RHO",1,"H20",1,0.613228980690949,0.537591193581107,0.389948942708092,0.616811585496544,0.75189294865881
"RHO",1,"H21",1,0.646233401586021,0.607782539189082,0.382799012282767,0.673876011349616,0.660810332890916
"RHO",1,"H22",1,0.76955428242176,0.711531103156629,0.296044904770157,0.79601305909131,0.771265977297569
"RHO",1,"H23",1,0.937678938995271,0.907549471180122,0.379515526518742,0.958928258270105,0.934266449018336
"RHO",1,"H0",2,0.00557986599936564,0.00867021662355861,0.320198774397409,0.00383034629435625,0.00828416658548217
"RHO",1,"H1",2,0.000301734680864751,0.00255122191646795,0.175127182235888,0.00080309983331002,0.002758526763776
"RHO",1,"H2",2,0.00174215148511572,0.000548662989513267,0.0989335718153228,0.00102397614717227,3.6297659658532e-062
"RHO",1,"H3",2,0.000591821511687338,0.0018122909657854,0.0737898134488217,0.000373248384088386,0.00249715741385981
"RHO",1,"H4",2,0.000538765492983336,0.00589963770353795,0.0442068121631245,0.0010797974802499,0.000564061558294525
"RHO",1,"H5",2,0.00129208581103901,0.0135781894877329,0.0200949741333169,0.00406603314157237,0.00157525792291808
"RHO",1,"H6",2,0.0269138339048084,0.114814004836376,0.0527553458451345,0.0399730783276078,0.0377791210482318
"RHO",1,"H7",2,0.0648560386632561,0.191090075562316,0.0531453169151839,0.0700914785166545,0.0784193221877339
"RHO",1,"H8",2,0.0868206085728812,0.225411470454992,0.133484974502383,0.0949704589436726,0.080580675485572
"RHO",1,"H9",2,0.0717798076216289,0.262175745881703,0.129381184166449,0.0817313336853245,0.0824674595566952
"RHO",1,"H10",2,0.12779830128936,0.243980716923365,0.169966199653731,0.132008537646989,0.127141771513352
"RHO",1,"H11",2,0.105685885014027,0.249826655759501,0.120379743140143,0.045027720049969,0.105901366079978
"RHO",1,"H12",2,0.0342344948435855,0.256012462211228,0.193348064495634,0.551357022549245,0.0666892977726056
"RHO",1,"H13",2,0.376839215940984,0.33582723468183,0.247585017259308,0.0123571518757854,0.400737268899507
"RHO",1,"H14",2,0.0873998941833171,0.278902559925206,0.151666669470657,0.0836559317633718,0.0945365445358351
"RHO",1,"H15",2,0.114832094995384,0.251671285979748,0.165172329376573,0.125031069282724,0.0986092344134305
"RHO",1,"H16",2,0.0992197646012438,0.251566719860556,0.193809573848254,0.115808768228135,0.14543109043349
"RHO",1,"H17",2,0.176177840142924,0.261726056212675,0.198206493553913,0.22152571562867,0.0884187998174972
"RHO",1,"H18",2,0.349450820759906,0.316580687514684,0.269011168179638,0.270569055885196,0.112342559124908
"RHO",1,"H19",2,7.59865447145243e-008,0.353970017837765,0.319943900081228,0.171643128489101,0.614620391330692
"RHO",1,"H20",2,0.188535313114893,0.389326494720648,0.493409700844796,0.194046718775483,0.118092184434373
"RHO",1,"H21",2,0.155149515260892,0.331190986057952,0.525489497243007,0.149031993939545,0.148862741605828
"RHO",1,"H22",2,0.0883416536010399,0.237609032116076,0.60229762720001,0.0858732177281522,0.0872019047434972
"RHO",1,"H23",2,0.0206159655913349,0.0760033020021501,0.500425438326358,0.0136827497367739,0.0204434039391237
"RHO",1,"H0",3,0.013461010009724,0.00289294772506626,0.105038036297478,0.007134940752831,0.00981109024251289
"RHO",1,"H1",3,0.00616903813261248,0.000945854359540489,0.0832852622369182,0.00203700505866431,0.004568636400863
"RHO",1,"H2",3,0.00378653694054392,0.000970164073426011,0.0508865111183401,0.00244106818647373,0.0032395490406002
"RHO",1,"H3",3,0.00373697471069147,0.00101673047324057,0.024057728165936,0.00284820408115942,0.00487259157926666
"RHO",1,"H4",3,0.00649058738837495,0.00135982888004859,0.0163769189099962,0.00479934968528708,0.00584095513016746
"RHO",1,"H5",3,0.00691041967726526,0.00494044341023521,0.0182570901202231,0.0105025256027941,0.0125181237263174
"RHO",1,"H6",3,0.075411774188503,0.0547752165889901,0.0621492350505985,0.112072716119333,0.0763601687287259
"RHO",1,"H7",3,0.214710471187013,0.142213194182993,0.116700587710562,0.296286108979238,0.266306101222621
"RHO",1,"H8",3,0.277384024662401,0.170924753075279,0.149044775940726,0.313669165691088,0.269295991694087
"RHO",1,"H9",3,0.239293888912378,0.154808541619235,0.187143185531441,0.226108049462988,0.271398756840297
"RHO",1,"H10",3,0.241984797417448,0.115965394073821,0.210705484069982,0.234287705874618,0.256896504957061
"RHO",1,"H11",3,0.198208663056174,0.0938803617840043,0.186611244082591,0.110060125997886,0.210415136097754
"RHO",1,"H12",3,0.0575364912742842,0.0997741299955964,0.18931135310578,0.448642977347745,0.107002320031413
"RHO",1,"H13",3,0.337921124545415,0.126898790322648,0.220733012288719,0.0692439552830187,0.335021530158366
"RHO",1,"H14",3,0.127238415445142,0.0926319812180762,0.22394995829415,0.164042738028473,0.132862600353487
"RHO",1,"H15",3,0.201303862161281,0.0857062175174778,0.15895364771634,0.216900556841751,0.200596016296055
"RHO",1,"H16",3,0.155694192114047,0.0746232606631592,0.214155799105656,0.167051763315336,0.230690498837133
"RHO",1,"H17",3,0.136362941630262,0.0731914031201001,0.194909207073317,0.16096874543693,0.105107487263592
"RHO",1,"H18",3,0.217849929953349,0.0744172956223998,0.160633993652115,0.166169797896701,0.0774764077433535
"RHO",1,"H19",3,0.0427964847853228,0.0609177703839422,0.120731014050977,0.137586012184125,0.385379608669308
"RHO",1,"H20",3,0.198235706194158,0.0730823116982458,0.116641356447112,0.189141695727973,0.130014866906818
"RHO",1,"H21",3,0.198617083153088,0.061026474752966,0.0917114904742257,0.17709199471084,0.190326925503255
"RHO",1,"H22",3,0.1421040639772,0.0508598647272951,0.101657468029834,0.118113723180538,0.141532117958934
"RHO",1,"H23",3,0.0417050954133939,0.0164472268177275,0.1200590351549,0.0273889919931209,0.0452901470425402
