"PARAM","GROUP","VARIABLE","RESPCAT","ESTLC1","ESTLC2","ESTLC3","ESTLC4","ESTLC5","ESTLC6"
"GAMMA",1,,,0.12781273162246,0.247261100054146,0.212392293771521,0.230837385141921,0.0406906980373324,0.14100579137262
"RHO",1,"H0",1,0.969767652203194,0.984097130737032,0.983661520928891,0.988796741925071,0.788059270986018,0.980967013201349
"RHO",1,"H1",1,0.985743493408359,0.993279873868993,0.992506469924032,0.995316379254312,0.88189505735379,0.996636856091317
"RHO",1,"H2",1,0.990465857132399,0.995018713700596,0.997761348850681,0.996508577583724,0.932678833823711,0.993751967979775
"RHO",1,"H3",1,0.986049616383007,0.994842255132087,0.994723752007086,0.997133071902374,0.955269660598351,0.999733047365271
"RHO",1,"H4",1,0.984418513441337,0.994825255652204,0.99501229416478,0.992514300318384,0.971529438477184,0.994696187903166
"RHO",1,"H5",1,0.978099516497481,0.991820514071787,0.988259296544405,0.98249597653483,0.977651959687364,0.989076384276063
"RHO",1,"H6",1,0.880326483987985,0.88696952889644,0.878937501236677,0.838223027890055,0.867180807943438,0.883519221174317
"RHO",1,"H7",1,0.788523117503501,0.697590793611826,0.65608499994079,0.627062349587874,0.759500935611547,0.65937999533676
"RHO",1,"H8",1,0.695127502473153,0.657508099370594,0.620430477241796,0.582404846539288,0.669264657529177,0.591769258925472
"RHO",1,"H9",1,0.681999517016455,0.67568122233668,0.638733164448555,0.67105941194171,0.611998187574494,0.66589589572435
"RHO",1,"H10",1,0.658463184978272,0.660307290354125,0.623707792166976,0.630928975927493,0.57961115741534,0.608807710106193
"RHO",1,"H11",1,0.594097678098118,0.754933609963614,0.706333727402871,0.826351342607433,0.672862795128357,0.682549259323423
"RHO",1,"H12",1,0.922813937292124,0.646470891017008,0.876231101164386,5.16726932481582e-031,0.580908149375859,0.853542420628408
"RHO",1,"H13",1,0.951078672584742,0.557006468632948,2.81601240407775e-006,0.903936720611028,0.533330076767626,0.153779782052287
"RHO",1,"H14",1,0.475411463245128,0.767681874193621,0.849117836850839,0.741097320900367,0.599353004615574,0.823848515985953
"RHO",1,"H15",1,0.734133136093523,0.700652116551251,0.705741899793016,0.651659640871602,0.645605308564709,0.613584712933281
"RHO",1,"H16",1,0.710399846103726,0.734119342983249,0.669054761061236,0.696963915805233,0.599444188894973,0.728404436681434
"RHO",1,"H17",1,0.67368535768496,0.738461385070377,0.59242759013767,0.624484890504387,0.605541238237147,0.928451705759705
"RHO",1,"H18",1,0.713021996022244,0.64713138040542,0.854258578127199,0.584650887421179,0.566029211254997,4.95382868689671e-158
"RHO",1,"H19",1,0.606259050861216,0.689039678921362,0.465088754864147,0.642468163623401,0.52092400262793,0.855166940472964
"RHO",1,"H20",1,0.644065139414773,0.690588808722597,0.609127334527503,0.613268894223974,0.364220928837338,0.682946178001204
"RHO",1,"H21",1,0.672972449638105,0.717394449545066,0.644410009350778,0.661424538381967,0.402348736163277,0.620858731009414
"RHO",1,"H22",1,0.769584069807444,0.807544688428605,0.759552098332038,0.791487913442771,0.316984487175243,0.754156250004523
"RHO",1,"H23",1,0.918518117634588,0.942078220429546,0.930196922839681,0.954052208235504,0.617373669767583,0.932060193678467
