"PARAM","GROUP","VARIABLE","RESPCAT","ESTLC1","ESTLC2","ESTLC3","ESTLC4","ESTLC5","ESTLC6","ESTLC7"
"GAMMA",1,,,0.106329589643488,0.150104844187175,0.115617159443624,0.113082122068377,0.093341028636656,0.094099417797995,0.327425838222684
"RHO",1,"H0",1,0.988997234038015,0.992313836834003,0.979427624754339,0.899233400727709,0.990037203098862,0.946981412477397,0.986779343997662
"RHO",1,"H1",1,0.995023291129536,0.998061351031242,0.994524490857913,0.946047789667472,0.998546870577034,0.970698091798809,0.995356831659962
"RHO",1,"H2",1,0.998817113356713,0.997700055988175,0.993359215700167,0.970708776109578,0.99748568208893,0.980535350400904,0.996758394627484
"RHO",1,"H3",1,0.993657810051592,0.998484418196383,0.99565916775933,0.97949893301168,0.998284306068054,0.977146306086486,0.99746750966097
"RHO",1,"H4",1,0.993313967777892,0.994285139276278,0.99518712877668,0.981453410229892,0.998827133035074,0.975396538741523,0.995476987009064
"RHO",1,"H5",1,0.990761572862342,0.985745452586342,0.986955846739274,0.973907048606495,0.992843361982633,0.967697706637633,0.992062987326111
"RHO",1,"H6",1,0.873030615640176,0.796013618021375,0.901918204399773,0.822689108879215,0.932273252091288,0.840805082865061,0.894248631842278
"RHO",1,"H7",1,0.714326177701945,0.477121794533984,0.763915556792402,0.691723098577167,0.863726034015395,0.677960082991698,0.670223066903362
"RHO",1,"H8",1,0.60066518544397,0.939609751701311,0.63459931063091,0.64150575001892,6.42541298352574e-113,0.653714875180814,0.642782030397012
"RHO",1,"H9",1,0.666790723695854,0.624221823249007,0.608003167172997,0.560284431869866,0.866858301726727,0.537454157641171,0.70202436166953
"RHO",1,"H10",1,0.655426441336505,0.624304508176888,0.650394181268563,0.612088640182508,0.66355750891481,0.604814244312444,0.621473126731973
"RHO",1,"H11",1,0.674807715586593,0.892311153865751,0.643850077660704,0.652678981812978,0.800911373937548,0.637994950718514,0.716083213167866
"RHO",1,"H12",1,0.864914191291726,1.53777595079067e-010,0.769804559921253,0.622219968687784,2.07956510893401e-017,0.565809686470613,0.90142352149992
"RHO",1,"H13",1,0.221190791300655,0.942546502496553,0.758657977897133,0.481229751740249,0.917474354009346,0.458289518592543,0.198341875877059
"RHO",1,"H14",1,0.876240120779854,0.825826544918589,1.68253618771723e-010,0.672927596466297,0.787332823593206,0.646876214932485,0.947107646529656
"RHO",1,"H15",1,0.674934065046295,0.648283100651621,0.883632764096648,0.618501807651132,0.644590151651963,0.620230112107776,0.660262670223853
"RHO",1,"H16",1,0.879352694712703,0.718042796920979,0.744278139363154,0.608468892627437,0.714619038524064,0.61478030609779,0.658171714105675
"RHO",1,"H17",1,6.57428259149176e-120,0.660200850450574,0.727022889317508,0.66298678626387,0.598966175875461,0.646481386361104,0.948194622204428
"RHO",1,"H18",1,0.9054456817234,0.580570568351676,0.559154154629634,0.598721595048521,0.579632535634557,0.533433077827705,0.480183999328977
"RHO",1,"H19",1,0.782788103190685,0.654576518396145,0.605278591711704,0.507454667487628,0.6958174248335,0.555683532930784,0.595657831741916
"RHO",1,"H20",1,0.618698546886042,0.649350070787188,0.581934462513751,0.455352674594478,0.624277031414944,0.542742432725502,0.693832936467546
"RHO",1,"H21",1,0.662524628569491,0.686518976162369,0.652681107220353,0.510166257014119,0.642642587589752,0.641516766112289,0.65313705549254
"RHO",1,"H22",1,0.778729921784485,0.821706914357305,0.749288416559774,0.563790616479862,0.792008441458332,0.684312452325776,0.784344560647837
"RHO",1,"H23",1,0.937398170396332,0.96436577025171,0.914742983464435,0.77863694916271,0.956243325293082,0.892773854258898,0.945130945465044
"RHO",1,"H0",2,0.000758869161417205,0.000664828418840017,0.000821895042932177,0.0375900144139256,0,0.00135408341249741,0.000756426818768778
"RHO",1,"H1",2,0,0,0,0.0144615050672702,0.000420969172272713,0,0
"RHO",1,"H2",2,0,0,0,0.0112011258694728,0,0.000863203557158262,0
"RHO",1,"H3",2,0,0,0,0.00481867945969471,0,0.000720126847174692,0
"RHO",1,"H4",2,0,0.000395679523814119,0,0.00633747634431924,0,2.82864989036978e-022,0
"RHO",1,"H5",2,9.60167539282433e-129,0.00186495206984615,6.71969969201301e-063,0.00417166408978874,0,0,0.000323917792152064
"RHO",1,"H6",2,0.0158984111303204,0.0137464905015206,0.015340352216623,0.0328980494799944,0.0130151582238706,0.0102515897608187,0.0100080310522565
"RHO",1,"H7",2,0.00926356606987378,0.0142550894425537,0.00687142533437806,0.0339997021937922,0.0109496514445023,0.00614534157417549,0.0154351917721158
"RHO",1,"H8",2,0.0291353746322255,0.0203690518709899,0.0176770207377569,0.0513449181037575,0.0241367554715919,0.01948319135332,0.0137294897789805
"RHO",1,"H9",2,0.0114839583270653,0.00868561419508723,0.0136689697757508,0.0501164399630911,0.00790603340327939,0.00766270274137577,0.00860981031788735
"RHO",1,"H10",2,0.0153830234388761,0.00969235823279135,0.0122978562461025,0.0585900677223746,0.0173470237855793,0.0117283130544199,0.0140523438087341
"RHO",1,"H11",2,0.0141055916548649,0.00467829022811661,0.0150329061344822,0.0537110498478775,0.00310361020908034,0.0171185294872574,0.0101416126907625
"RHO",1,"H12",2,0.0154895237178173,0.0663521261809921,0.0109348130368944,0.0555044715149907,0.079247099862979,0.0157723802807064,0.00807994308277261
"RHO",1,"H13",2,0.0492547413076298,0.00205404699551392,0.0193493047074221,0.0880791838666289,0.00647163182573754,0.0239834804491471,0.0545831241485128
"RHO",1,"H14",2,0.00506198724636147,0.00594549939672422,0.0648155927490626,0.0654160674976031,0.00669466870314557,0.0260836913432255,2.82714963715386e-024
"RHO",1,"H15",2,0.0143202136282708,0.0168893946381611,0.00202968739590182,0.0773267506143685,0.0146521178729821,0.0152431348700337,0.0120027887800698
"RHO",1,"H16",2,0.00545188474216603,0.0208393504252665,0.0126550411359317,0.076058998840604,0.0192123957496511,0.0282772180437063,0.0206792632308196
"RHO",1,"H17",2,0.0815177531289519,0.0359279905354859,0.0209667443279415,0.0831701211507176,0.0454990991581903,0.0278469176653943,0.0118514520474672
"RHO",1,"H18",2,0.00544006127781426,0.0486402963325109,0.0564746445670115,0.118038623311572,0.0421215385506512,0.0366454931884759,0.0603439442759024
"RHO",1,"H19",2,0.0239663439763361,0.046338450038819,0.0508827817421315,0.175015668154214,0.037969823819608,0.0433226454140064,0.0532856041175943
"RHO",1,"H20",2,0.0342026681437398,0.0457328002923565,0.0639774746922876,0.223646887636384,0.0513833547480967,0.0348255135219919,0.039912204054598
"RHO",1,"H21",2,0.0313075556240916,0.0410903959520417,0.0449465961825755,0.224344600854991,0.0415834280127882,0.0344941804027838,0.0453628821151136
"RHO",1,"H22",2,0.0202023257953111,0.0154872538710005,0.0264925976470798,0.191254488501284,0.0271980286842314,0.0198949651439253,0.0222053091922897
"RHO",1,"H23",2,0.00537730082744531,0.00174143155491166,0.0059425077715259,0.0946948019730224,0.00270075418820648,0.00408307310898864,0.00274822086727672
"RHO",1,"H0",3,0.00278910205594247,0.00339742337104549,0.00773389649466746,0.0469640383699563,0.00359629453974736,0.0114182818409308,0.00471699296033823
"RHO",1,"H1",3,0,0.0004455858444642,0.00106909740994851,0.0293455128794179,0.000332443155847169,0.0046482679691163,0.00144977995674602
"RHO",1,"H2",3,0.000486447485530693,0.00141815269759216,0.00102400629961683,0.0106073063182161,0.000808976271297583,0.0022664639590116,0.00127061755425363
"RHO",1,"H3",3,0.00165685771424486,0.00038780068745914,0.00207998988755458,0.0114509250345202,0.000284311628524504,0.00506586017168882,0.000792166495720248
"RHO",1,"H4",3,0.00108294351770953,0.00141503509440549,0.000607294721535263,0.0114688017921973,0.000355382887743902,0.00282103318805591,0.000648391026526836
"RHO",1,"H5",3,0.00488975832464515,0.00345159523076639,0.00639566170384756,0.0126998900418392,0.0033419825621608,2.90317206291447e-166,0.00220598179516319
"RHO",1,"H6",3,0.0348959523442184,0.0467789765488022,0.0274941155220749,0.0927848968279134,0.0232371062058084,0.00573528387316106,0.0285936449517207
"RHO",1,"H7",3,0.0781850336440165,0.0925329019602829,0.0719759779540613,0.140279874013678,0.0567765569675666,0.0106452089514314,0.0838300505157136
"RHO",1,"H8",3,0.094128133136829,0.0314484481943352,0.105701520519239,0.175955969853567,0.183780647838052,0.0255354647004759,0.0875975010227374
"RHO",1,"H9",3,0.0925992240516091,0.118681596622874,0.13305927837257,0.219618540007037,0.0432324058934123,0.0553186351594686,0.0798193726711906
"RHO",1,"H10",3,0.122597270060236,0.148994197648658,0.124977200457921,0.198759181547525,0.1329564148705,0.041069817771492,0.143179724175778
"RHO",1,"H11",3,0.130603957351462,0.035292115891046,0.146641134095169,0.18362323720446,0.0770644482713195,0.0501818734624357,0.111535848444028
