"id_day","id","Sex","DayofWeek","Age","H0","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12","H13","H14","H15","H16","H17","H18","H19","H20","H21","H22","H23","POSTLC1","POSTLC2","POSTLC3","BEST"
101011110,10101111,2,"Thursday",32,1,1,1,1,1,1,1,1,3,1,3,1,3,3,1,1,1,1,1,3,1,1,2,1,0.954034973877864,0.000367512186292581,0.0455975139358435,1
1010111100,10101111,2,"Friday",32,1,1,1,1,1,1,1,1,3,1,3,1,3,1,3,1,1,1,1,3,1,1,1,1,0.997303356440088,0.000113103843482151,0.00258353971642992,1
10101111000,10101111,2,"Saturday",32,1,3,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,3,1,1,2,2,2,2,1.98786872837324e-005,2.41683215153105e-005,0.999955952991201,3
101011110000,10101111,2,"Sunday",32,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,0.000155299241509327,0.999657005984611,0.000187694773879769,2
101011510,10101151,1,"Thursday",64,1,1,1,1,1,3,3,1,1,3,1,1,3,1,1,1,3,1,2,1,2,1,1,1,0.890690030935089,0.00294523303808077,0.106364736026831,1
1010115100,10101151,1,"Friday",64,1,1,1,1,1,1,3,3,1,3,1,1,1,3,1,1,1,3,2,1,1,3,1,1,0.996401952745638,7.76668573346349e-005,0.00352038039702743,1
10101151000,10101151,1,"Saturday",64,1,1,1,1,1,1,2,3,3,1,3,1,3,1,1,3,1,2,1,1,2,2,1,1,0.592153329533358,0.0929374738133532,0.314909196653289,1
101011510000,10101151,1,"Sunday",64,1,1,1,1,1,1,1,3,2,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,0.00063064390188012,0.999325834248107,4.35218500124192e-005,2
101011610,10101161,2,"Thursday",61,1,1,1,1,1,1,1,3,3,1,3,1,1,3,1,3,1,1,3,3,1,1,3,1,0.998314253741556,3.85968922165814e-007,0.00168536028952185,1
1010116100,10101161,2,"Friday",61,1,1,1,1,1,1,1,3,3,1,3,3,1,1,3,1,3,1,3,1,1,3,1,1,0.998166944878146,8.11853341133918e-007,0.00183224326851287,1
10101161000,10101161,2,"Saturday",61,1,1,1,1,1,1,1,3,3,1,1,3,1,3,1,1,3,1,3,3,3,1,3,1,0.995652437036679,4.86575045789814e-008,0.00434751430581598,1
101011610000,10101161,2,"Sunday",61,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,1,1,2,3,1,2,1,1,1.72641520649639e-006,0.999983821759116,1.44518256778571e-005,2
101012610,10101261,2,"Saturday",55,1,1,1,1,1,1,3,1,1,1,1,3,1,3,1,1,1,1,1,1,3,1,1,1,0.995362279880871,0.000611138135974042,0.00402658198315529,1
1010126100,10101261,2,"Sunday",55,1,1,1,1,1,1,3,1,1,1,1,3,3,1,3,1,1,1,1,1,3,1,3,1,0.980048728396508,2.30807438931415e-005,0.0199281908595993,1
10101261000,10101261,2,"Monday",55,1,1,1,1,1,1,1,3,1,3,1,1,3,1,3,1,3,3,3,1,1,3,1,1,0.997680959553389,2.60535004444134e-007,0.00231877991160644,1
101012610000,10101261,2,"Tuesday",55,1,1,1,1,1,1,1,2,1,2,1,3,1,1,2,1,2,1,3,2,2,1,1,1,8.95829083549949e-005,0.998580834212737,0.00132958287890766,2
101020110,10102011,1,"Thursday",39,1,1,1,1,1,1,3,1,3,3,3,2,2,1,1,1,3,1,1,3,1,2,1,1,0.917919707427603,0.0172083174445703,0.0648719751278272,1
1010201100,10102011,1,"Friday",39,1,1,1,1,1,1,3,3,3,3,3,1,3,1,1,3,3,1,3,1,1,3,1,1,0.999437589438209,2.12443971188158e-008,0.000562389317393605,1
10102011000,10102011,1,"Saturday",39,1,1,1,1,1,1,1,1,3,1,1,3,3,1,1,3,1,1,3,1,1,3,3,3,0.986433014811029,4.30553626123032e-007,0.013566554635345,1
